127.0.0.1 - - [02/Jul/2025:10:33:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/studforgotPassword.jsp HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/css/assets.css HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/vendors/calendar/fullcalendar.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/css/typography.css HTTP/1.1" 200 14882
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/css/shortcodes/shortcodes.css HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/css/style.css HTTP/1.1" 200 67960
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:13 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/css/layers.css HTTP/1.1" 200 140793
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/css/color/color-1.css HTTP/1.1" 200 5362
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/css/navigation.css HTTP/1.1" 200 59576
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/revolution/css/settings.css HTTP/1.1" 200 30082
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/js/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/css/dashboard.css HTTP/1.1" 200 39441
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/bootstrap/js/popper.min.js HTTP/1.1" 200 20490
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 50670
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140365
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/fontawesome/css/font-awesome.min.css HTTP/1.1" 200 31024
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/themify/themify-icons.css HTTP/1.1" 200 16455
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/owl-carousel/owl.carousel.css HTTP/1.1" 200 3509
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/bootstrap-select/bootstrap-select.min.css HTTP/1.1" 200 5563
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/magnific-popup/magnific-popup.css HTTP/1.1" 200 7883
0:0:0:0:0:0:0:1 - - [02/Jul/2025:10:33:14 +0530] "GET /Epayment_MSBTE/assets/vendors/scroll/scrollbar.css HTTP/1.1" 200 938
